"","Tagname"
"324","UVA/Data/Buildings/0202/ac_Buildings0202Floors2283DO"
"325","UVA/Data/Buildings/0202/ac_Buildings0202Floors2283SAT"
"326","UVA/Data/Buildings/0202/ac_Buildings0202Floors2C200HWVO"
"327","UVA/Data/Buildings/0202/ac_Buildings0202Floors2C200SAFSP"
"328","UVA/Data/Buildings/0202/ac_Buildings0202Floors2C210HWVO"
"329","UVA/Data/Buildings/0202/ac_Buildings0202EquipmentAHU2ERFNSTS"
"330","UVA/Data/Buildings/0202/ac_Buildings0202EquipmentAHU2WMAT"
"331","UVA/Data/Buildings/0202/ac_Buildings0202Floors22012HWVO"
"332","UVA/Data/Buildings/0202/ac_Buildings0202Floors2208DO"
"333","UVA/Data/Buildings/0202/ac_Buildings0202Floors2245SAFSP"
"334","UVA/Data/Buildings/0202/ac_Buildings0202Floors2247SAF"
"335","UVA/Data/Buildings/0202/ac_Buildings0202Floors2247ZNT"
"336","UVA/Data/Buildings/0202/ac_Buildings0202Floors2249ZNT"
"337","UVA/Data/Buildings/0202/ac_Buildings0202Floors2257SAFSP"
"338","UVA/Data/Buildings/0202/ac_Buildings0202Floors2260SAF"
"339","UVA/Data/Buildings/0202/ac_Buildings0202Floors2265SAFSP"
"340","UVA/Data/Buildings/0202/ac_Buildings0202Floors2274HWVO"
"341","UVA/Data/Buildings/0202/ac_Buildings0202Floors2274SAT"
"342","UVA/Data/Buildings/0202/ac_Buildings0202Floors2279SAT"
"343","UVA/Data/Buildings/0202/ac_Buildings0202Floors2279ZNT"
"344","UVA/Data/Buildings/0202/ac_Buildings0202Floors2283ZNT"
"345","UVA/Data/Buildings/0202/ac_Buildings0202Floors2286SAFSP"
"346","UVA/Data/Buildings/0202/ac_Buildings0202Floors2C213DO"
"347","UVA/Data/Buildings/0202/ac_Buildings0202Floors2C213SAFSP"
