sep=;
"Series";"Time";"Value"
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-16T06:07:15-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-16T19:02:21-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-17T06:07:24-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-17T19:02:28-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-18T06:07:32-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-12-18T19:02:36-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-04T06:00:55-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-04T07:17:14-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-04T12:40:42-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-04T19:00:49-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-05T06:11:05-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-05T11:06:03-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-05T12:59:53-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-05T14:48:40-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-05T16:13:56-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-05T19:03:56-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-06T06:04:00-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-06T09:19:47-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-06T12:12:33-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-06T19:02:35-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-07T06:07:39-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-07T19:02:42-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-08T06:07:46-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-08T09:07:26-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-08T19:02:29-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-09T05:07:33-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-09T08:07:34-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-09T18:02:37-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-10T08:07:42-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2021-01-10T08:42:35-05:00";1
